observation_date,burrow_number,individual,first_capture,first_capture_beh,band,years_found,sex,passive,kick,bite,head_shake,run_and_hide,hide,regurgitate,vocalize,other,ext_time,ext_by,timed_by,notes
6/10/2023,504,ATY1,1,1,140167106,5,female,0,0,1,0,0,0,0,1,0,73,DL,MH,
6/10/2023,679,ATY1,1,1,246108721,6,,1,0,0,0,0,0,0,0,0,50,SP,LF,
6/10/2023,808,ATY1,1,1,246109184,2,,0,1,0,0,0,0,0,0,0,49,PJ,LF,
6/12/2023,916,ATY1,1,1,308102504,0,,1,0,0,0,0,0,0,0,0,56,SP,CD,
6/12/2023,299,ATY1,1,1,790118815,,,0,1,0,0,0,0,0,0,0,23,SP,CD,banded 2021? in 2022 data as recapture.
6/12/2023,327,ATY1,1,1,246110519,1,,0,0,1,0,0,0,0,0,0,8,PJ,CD,banded 2022
6/12/2023,328,ATY1,1,1,246109457,1,,0,0,1,0,0,0,0,1,0,10,SP,unknown,DL timed? banded 2022
6/12/2023,100,ATY2,1,1,140167067,3,,0,0,0,0,1,0,0,0,0,19,SP,unknown,DL timed?
6/12/2023,233,ATY1,1,1,246108805,,,0,0,1,0,0,0,0,0,0,15,SP,unknown,DL timed? banded 2021? in 2022 as recapture but not in data through 2020
6/12/2023,204,ATY1,1,1,246110550,1,,0,0,1,0,1,0,1,0,0,20,PJ,unknown,DL or SP timed?
6/12/2023,273,ATY1,1,1,246110502,,,0,0,0,0,0,1,0,0,0,94,PJ,unknown,DL or SP timed? banded 2021? not found in 2022 or through 2020
6/13/2023,271,ATY1,1,1,246110548,1,,0,0,0,0,0,1,0,0,0,45,SP,BS,
6/13/2023,876,ATY1,1,1,140163421,,,0,0,1,0,0,0,0,0,0,165,DL,BS,found as recapture in 2022; banded 2021?
6/13/2023,89,ATY1,0,1,140163382,2,,0,0,1,0,0,0,0,0,0,31,PJ,BS,
6/13/2023,302,ATY1,1,1,140163407,2,,0,1,0,0,0,0,0,0,0,62,PJ,BS,
6/13/2023,34,ATY1,1,1,246110562,1,,1,0,0,0,0,0,0,0,0,223,DL,BS,banded 2022
6/13/2023,40,ATY1,1,1,140167042,,,0,0,1,0,0,0,0,0,0,7,PJ,BS,regurgitated during egg extraction. recapture in 2022 but not in sheet through 2020
6/13/2023,340,ATY1,1,1,246109080,,,0,0,1,0,0,0,0,0,0,7,PJ,BS,banded 2021? in 2022 data as recapture.
6/14/2023,827,ATY1,1,1,140181970,16,male,0,0,1,0,1,0,0,0,0,40,SP,unknown,HS timed?
6/14/2023,712,ATY1,0,1,246109183,3,,0,0,1,0,0,0,0,0,0,28,SP,unknown,HS timed?
6/14/2023,926,ATY1,0,1,140163411,,,0,0,0,0,1,0,0,0,0,40,SP,unknown,HS timed?
6/14/2023,655,ATY2,0,1,246109310,,female,0,1,0,0,1,0,0,0,0,45,DL,unknown,HS timed?
6/14/2023,763,ATY1,1,1,140163497,,,0,0,1,0,1,0,0,1,0,57,SP,unknown,HS timed?
6/14/2023,518,ATY1,1,1,790111390,,male,0,0,1,0,0,0,0,1,0,11,SP,unknown,HS timed? Regurgitated during egg extraction
6/14/2023,698,ATY2,1,1,246110559,,,0,0,0,0,1,0,0,0,0,116,DL,unknown,SP timed?
6/14/2023,697,ATY2,1,1,140163391,,,0,0,1,0,0,0,0,0,0,39,DL,unknown,
6/14/2023,513,ATY2,1,1,246109185,,,0,0,0,0,1,0,0,0,0,36,SP,unknown,DL timed?
6/14/2023,971,ATY1,1,1,246109312,,,0,0,0,0,1,0,0,0,0,37,PJ,unknown,DL timed?
6/15/2023,953,ATY2,1,1,246109026,,female,0,0,1,0,1,0,0,0,0,28,SP,BS,
6/15/2023,841,ATY2,0,1,246108704,,,0,0,1,0,0,0,0,0,0,22,SP,BS,
6/15/2023,934,ATY2,1,1,246109042,,,0,0,1,0,0,0,0,0,0,19,SP,BS,
6/15/2023,165,ATY1,1,1,246109029,,,0,0,0,0,1,0,0,0,0,199,BS and SP,CD,"Very complex burrow, required one person to block off an uphill trapdoor and trap the bird between two trapdoors. Total time 5:28 from blocking the entrances; extraction time written here is according to the protocol."
6/15/2023,610,ATY2,1,1,790111098,,,0,0,1,0,1,0,0,1,0,43,SP,CD,
6/15/2023,972,ATY1,1,1,308102505,0,,1,0,0,0,0,0,0,0,0,74,SP,PJ,
6/15/2023,504,ATY2,,,,,,0,0,1,0,0,0,0,0,0,13,SP,PJ,
6/15/2023,679,ATY2,,,,,,0,0,1,0,0,0,0,0,0,7,PJ,BS,
6/15/2023,836,ATY1,,,,,,1,0,0,0,0,0,0,0,0,4,PJ,BS,
6/16/2023,808,ATY1,,,,,,0,0,1,0,1,0,0,0,0,114,DL,BS,
6/16/2023,663,ATY1,,,,,,0,0,1,0,0,0,0,1,0,17,SP,BS,
6/16/2023,691,ATY1,,,,,,0,1,1,0,0,0,0,1,0,22,SP,BS,
6/16/2023,916,ATY2,,,,,,0,0,0,0,1,0,0,0,0,45,DL,BS,
6/16/2023,209,ATY1,,,,,,0,0,0,0,1,0,0,0,0,82,SP,DL,
6/16/2023,273,ATY2,,,,,,0,0,1,0,0,1,0,0,0,168,PJ,DL,
6/16/2023,888,ATY1,,,,,,0,0,1,0,0,0,0,1,0,23,SP,PJ,
